Имя файла,% Красного (SVM),Мнение Math Agent,Мнение VLM (Gemini),Финальное решение,Источник,Ground Truth,Ошибка?,Тип ошибки (если есть)
OCT (60)Proc2.jpg,2.7%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (7)Proc2.jpg,3.0%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (71)Proc2.jpg,3.3%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (8)Proc2.jpg,3.2%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (86)Proc2.jpg,3.2%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (9)Proc2.jpg,3.7%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (1)Proc2.jpg,87.0%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (11)Proc2.jpg,87.7%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (12)Proc2.jpg,78.7%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (15)Proc2.jpg,93.3%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (2)Proc2.jpg,88.9%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (21)Proc2.jpg,84.3%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (22)Proc2.jpg,68.0%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (23)Proc2.jpg,30.1%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (32)Proc2.jpg,91.8%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (33)Proc2.jpg,85.4%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (38)Proc2.jpg,16.6%,Uncertainty,NOISE,NOISE,VLM,Tumor,Да,False Negative (Пропуск опухоли)
OCT (39)Proc2.jpg,92.2%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (4)Proc2.jpg,78.4%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (40)Proc2.jpg,93.2%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (48)Proc2.jpg,76.6%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (49)Proc2.jpg,66.1%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (5)Proc2.jpg,54.0%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (59)Proc2.jpg,84.3%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (61)Proc2.jpg,62.9%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (62)Proc2.jpg,43.7%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (63)Proc2.jpg,63.0%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (64)Proc2.jpg,41.0%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (65)Proc2.jpg,91.4%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (66)Proc2.jpg,80.0%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (67)Proc2.jpg,44.1%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (68)Proc2.jpg,68.6%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (69)Proc2.jpg,93.5%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (70)Proc2.jpg,91.9%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (72)Proc2.jpg,17.9%,Uncertainty,NOISE,NOISE,VLM,Tumor,Да,False Negative (Пропуск опухоли)
OCT (73)Proc2.jpg,67.2%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (74)Proc2.jpg,52.2%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (75)Proc2.jpg,58.9%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (76)Proc2.jpg,24.3%,Uncertainty,NOISE,NOISE,VLM,Tumor,Да,False Negative (Пропуск опухоли)
OCT (77)Proc2.jpg,38.3%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (78)Proc2.jpg,50.8%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (79)Proc2.jpg,61.7%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (80)Proc2.jpg,5.1%,Uncertainty,NOISE,NOISE,VLM,Tumor,Да,False Negative (Пропуск опухоли)
OCT (81)Proc2.jpg,32.1%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (82)Proc2.jpg,74.8%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (83)Proc2.jpg,63.9%,High Risk,—,TUMOR,Math,Tumor,Нет,—
OCT (84)Proc2.jpg,28.1%,Uncertainty,TUMOR,TUMOR,VLM,Tumor,Нет,—
OCT (85)Proc2.jpg,56.0%,High Risk,—,TUMOR,Math,Tumor,Нет,—
